Start Type,Time(ms)
"msg=""Warm Start:",5.631788
"msg=""Warm Start:",7.353202
"msg=""Warm Start:",3.962336
"msg=""Warm Start:",5.272336
"msg=""Warm Start:",5.008708
"msg=""Warm Start:",5.067517
"msg=""Warm Start:",4.823372
"msg=""Warm Start:",5.300362
"msg=""Warm Start:",5.699522
"msg=""Warm Start:",5.882594
"msg=""Warm Start:",6.84015
"msg=""Warm Start:",5.319112
"msg=""Warm Start:",5.176123
"msg=""Warm Start:",5.703654
"msg=""Warm Start:",6.461901
"msg=""Warm Start:",4.325994
"msg=""Warm Start:",6.614201
"msg=""Warm Start:",6.780726
"msg=""Warm Start:",6.645482
"msg=""Warm Start:",4.818216
"msg=""Warm Start:",6.149947
"msg=""Warm Start:",4.667284
"msg=""Warm Start:",4.636837
"msg=""Warm Start:",5.210897
"msg=""Warm Start:",5.402827
"msg=""Warm Start:",4.576648
"msg=""Warm Start:",6.572548
"msg=""Warm Start:",4.954101
"msg=""Warm Start:",7.763269
"msg=""Warm Start:",6.633226
"msg=""Warm Start:",5.725609
"msg=""Warm Start:",4.253207
"msg=""Warm Start:",6.779703
"msg=""Warm Start:",5.651587
"msg=""Warm Start:",5.871179
"msg=""Warm Start:",7.797646
"msg=""Warm Start:",7.423254
"msg=""Warm Start:",6.187719
"msg=""Warm Start:",5.799991
"msg=""Warm Start:",6.132305
"msg=""Warm Start:",6.459336
"msg=""Warm Start:",4.517006
"msg=""Warm Start:",4.699472
"msg=""Warm Start:",8.341862
"msg=""Warm Start:",6.263786
"msg=""Warm Start:",5.213151
"msg=""Warm Start:",5.555542
"msg=""Warm Start:",5.695104
"msg=""Warm Start:",5.679373
"msg=""Warm Start:",5.627886
"msg=""Warm Start:",4.387094
"msg=""Warm Start:",5.218148
"msg=""Warm Start:",7.89342
"msg=""Warm Start:",9.282122
"msg=""Warm Start:",5.437273
"msg=""Warm Start:",6.149096
"msg=""Warm Start:",7.056388
"msg=""Warm Start:",6.933324
"msg=""Warm Start:",5.416437
"msg=""Warm Start:",4.992306
"msg=""Warm Start:",10.934544
"msg=""Warm Start:",11.910356
"msg=""Warm Start:",7.727658
"msg=""Warm Start:",4.712341
"msg=""Warm Start:",5.979331
"msg=""Warm Start:",11.787582
"msg=""Warm Start:",13.047814
"msg=""Warm Start:",9.387344
"msg=""Warm Start:",16.046144
"msg=""Warm Start:",15.116128
"msg=""Warm Start:",11.059544
"msg=""Warm Start:",10.097119
"msg=""Warm Start:",4.646639
"msg=""Warm Start:",4.716103
"msg=""Warm Start:",4.645753
"msg=""Warm Start:",3.904608
"msg=""Warm Start:",4.00279
"msg=""Warm Start:",4.562671
"msg=""Warm Start:",4.599393
"msg=""Warm Start:",3.536803
"msg=""Warm Start:",3.334585
"msg=""Warm Start:",3.402725
"msg=""Warm Start:",4.867995
"msg=""Warm Start:",4.944257
"msg=""Warm Start:",3.190243
"msg=""Warm Start:",3.313044
"msg=""Warm Start:",3.996953
"msg=""Warm Start:",2.949749
"msg=""Warm Start:",2.887603
"msg=""Warm Start:",3.024593
"msg=""Warm Start:",3.098986
"msg=""Warm Start:",3.024443
"msg=""Warm Start:",4.059154
"msg=""Warm Start:",4.123102
"msg=""Warm Start:",2.90668
"msg=""Warm Start:",4.280054
"msg=""Warm Start:",4.790668
"msg=""Warm Start:",3.092481
"msg=""Warm Start:",4.058689
"msg=""Warm Start:",3.116149
"msg=""Warm Start:",3.138036
"msg=""Warm Start:",3.842204
"msg=""Warm Start:",3.087764
"msg=""Warm Start:",3.865899
"msg=""Warm Start:",3.392063
"msg=""Warm Start:",5.304104
"msg=""Warm Start:",5.617723
"msg=""Warm Start:",3.198849
"msg=""Warm Start:",3.938992
"msg=""Warm Start:",3.39664
"msg=""Warm Start:",3.867401
"msg=""Warm Start:",2.358788
"msg=""Warm Start:",2.781025
"msg=""Warm Start:",3.113027
"msg=""Warm Start:",3.165511
"msg=""Warm Start:",2.843683
"msg=""Warm Start:",2.900387
"msg=""Warm Start:",3.183368
"msg=""Warm Start:",3.628711
"msg=""Warm Start:",3.918067
"msg=""Warm Start:",2.982954
"msg=""Warm Start:",3.281019
"msg=""Warm Start:",3.269291
"msg=""Warm Start:",3.442222
"msg=""Warm Start:",3.373714
"msg=""Warm Start:",3.235493
"msg=""Warm Start:",3.227852
"msg=""Warm Start:",2.746259
"msg=""Warm Start:",4.071275
"msg=""Warm Start:",4.513528
"msg=""Warm Start:",4.685393
"msg=""Warm Start:",3.976339
"msg=""Warm Start:",3.200989
"msg=""Warm Start:",3.140445
"msg=""Warm Start:",2.950995
"msg=""Warm Start:",3.657754
"msg=""Warm Start:",3.492409
"msg=""Warm Start:",3.460677
"msg=""Warm Start:",3.083693
